Date : 2023-11-07 19:49:38
Directory : e:\webdevelopment\dvki\client\frontend
Total : 123 files,  50619 codes, 614 comments, 834 blanks, all 52067 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\MenuList\NavItem\index.js                     | JavaScript         |         95 |          6 |         14 |        115 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\MenuList\index.js                             | JavaScript         |         19 |          3 |          6 |         28 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\Sidebar\index.js                                      | JavaScript         |         76 |          4 |         11 |         91 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MainLayout\index.js                                              | JavaScript         |         93 |          6 |         12 |        111 |
| e:\webdevelopment\dvki\client\frontend\src\layout\MinimalLayout\index.js                                           | JavaScript         |          9 |          2 |          5 |         16 |
| e:\webdevelopment\dvki\client\frontend\src\layout\NavMotion.js                                                     | JavaScript         |         32 |          1 |          7 |         40 |
| e:\webdevelopment\dvki\client\frontend\src\layout\NavigationScroll.js                                              | JavaScript         |         19 |          1 |          7 |         27 |
| e:\webdevelopment\dvki\client\frontend\src\menu-items\dashboard.js                                                 | JavaScript         |         18 |         11 |          5 |         34 |
| e:\webdevelopment\dvki\client\frontend\src\menu-items\index.js                                                     | JavaScript         |         13 |          1 |          6 |         20 |
| e:\webdevelopment\dvki\client\frontend\src\menu-items\other.js                                                     | JavaScript         |         26 |          3 |          5 |         34 |
| e:\webdevelopment\dvki\client\frontend\src\menu-items\pages.js                                                     | JavaScript         |         36 |          3 |          4 |         43 |
| e:\webdevelopment\dvki\client\frontend\src\menu-items\utilities.js                                                 | JavaScript         |         61 |          3 |          5 |         69 |
| e:\webdevelopment\dvki\client\frontend\src\routes\AuthenticationRoutes.js                                          | JavaScript         |         20 |          3 |          6 |         29 |
| e:\webdevelopment\dvki\client\frontend\src\routes\MainRoutes.js                                                    | JavaScript         |         86 |          5 |          7 |         98 |
| e:\webdevelopment\dvki\client\frontend\src\routes\ProtectedRoute.js                                                | JavaScript         |          9 |          0 |          2 |         11 |
| e:\webdevelopment\dvki\client\frontend\src\routes\index.js                                                         | JavaScript         |          6 |          2 |          4 |         12 |
| e:\webdevelopment\dvki\client\frontend\src\serviceWorker.js                                                        | JavaScript         |         89 |         31 |         13 |        133 |
| e:\webdevelopment\dvki\client\frontend\src\store\actions.js                                                        | JavaScript         |          5 |          1 |          1 |          7 |
| e:\webdevelopment\dvki\client\frontend\src\store\constant.js                                                       | JavaScript         |          3 |          1 |          1 |          5 |
| e:\webdevelopment\dvki\client\frontend\src\store\customizationReducer.js                                           | JavaScript         |         38 |          3 |          6 |         47 |
| e:\webdevelopment\dvki\client\frontend\src\store\index.js                                                          | JavaScript         |          5 |          1 |          4 |         10 |
| e:\webdevelopment\dvki\client\frontend\src\store\reducer.js                                                        | JavaScript         |          6 |          2 |          5 |         13 |
| e:\webdevelopment\dvki\client\frontend\src\themes\compStyleOverride.js                                             | JavaScript         |        187 |          0 |          1 |        188 |
| e:\webdevelopment\dvki\client\frontend\src\themes\index.js                                                         | JavaScript         |         40 |          6 |         10 |         56 |
| e:\webdevelopment\dvki\client\frontend\src\themes\palette.js                                                       | JavaScript         |         68 |          4 |          2 |         74 |
| e:\webdevelopment\dvki\client\frontend\src\themes\typography.js                                                    | JavaScript         |        128 |          4 |          2 |        134 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\Loadable.js                                                | JavaScript         |          9 |          2 |          5 |         16 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\Loader.js                                                  | JavaScript         |         15 |          3 |          4 |         22 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\Logo.js                                                    | JavaScript         |         16 |         15 |          6 |         37 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\AuthFooter.js                                        | JavaScript         |         12 |          2 |          4 |         18 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\CardSecondaryAction.js                               | JavaScript         |         50 |          2 |          7 |         59 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\MainCard.js                                          | JavaScript         |         74 |          3 |         10 |         87 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\EarningCard.js                              | JavaScript         |         27 |          2 |          4 |         33 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\ImagePlaceholder.js                         | JavaScript         |          3 |          2 |          4 |          9 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\PopularCard.js                              | JavaScript         |        148 |          3 |          5 |        156 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\ProductPlaceholder.js                       | JavaScript         |         37 |          3 |          5 |         45 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\TotalGrowthBarChart.js                      | JavaScript         |         32 |          3 |          5 |         40 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\Skeleton\TotalIncomeCard.js                          | JavaScript         |         18 |          2 |          4 |         24 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\cards\SubCard.js                                           | JavaScript         |         55 |          2 |         10 |         67 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\AnimateButton.js                                  | JavaScript         |         87 |          2 |          9 |         98 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\Avatar.js                                         | JavaScript         |         63 |          2 |          8 |         73 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\Breadcrumbs.js                                    | JavaScript         |        159 |          9 |         20 |        188 |
| e:\webdevelopment\dvki\client\frontend\src\ui-component\extended\Transitions.js                                    | JavaScript         |         97 |          2 |          9 |        108 |
| e:\webdevelopment\dvki\client\frontend\src\utils\password-strength.js                                              | JavaScript         |         21 |          8 |          6 |         35 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Default\ApplCard.js                                     | JavaScript         |        139 |         35 |         11 |        185 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Default\ApplCardLong.js                                 | JavaScript         |        156 |          7 |         13 |        176 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Default\index.js                                        | JavaScript         |         47 |          2 |          7 |         56 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\BajajAreaChartCard.js                      | JavaScript         |         50 |          4 |         10 |         64 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\EarningCard.js                             | JavaScript         |        171 |          4 |         13 |        188 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\PopularCard.js                             | JavaScript         |        294 |          4 |         12 |        310 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalGrowthBarChart.js                     | JavaScript         |        120 |          6 |         15 |        141 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalIncomeDarkCard.js                     | JavaScript         |         85 |          5 |         10 |        100 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalIncomeLightCard.js                    | JavaScript         |         85 |          5 |         10 |        100 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\TotalOrderLineChartCard.js                 | JavaScript         |        159 |          6 |         13 |        178 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\admissions\index.js                        | JavaScript         |         22 |         31 |          7 |         60 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\bajaj-area-chart.js             | JavaScript         |         39 |          1 |          3 |         43 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\total-growth-bar-chart.js       | JavaScript         |         85 |          1 |          2 |         88 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\total-order-month-line-chart.js | JavaScript         |         49 |          1 |          3 |         53 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\chart-data\total-order-year-line-chart.js  | JavaScript         |         49 |          1 |          3 |         53 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\requests\ApplCard.js                       | JavaScript         |        369 |         33 |         17 |        419 |
| e:\webdevelopment\dvki\client\frontend\src\views\dashboard\Organization\requests\index.js                          | JavaScript         |         47 |         29 |          7 |         83 |
| e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\AuthCardWrapper.js                           | JavaScript         |         23 |          3 |          7 |         33 |
| e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\AuthWrapper1.js                              | JavaScript         |          6 |          2 |          4 |         12 |
| e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\auth-forms\AuthLogin.js                      | JavaScript         |        244 |          5 |         17 |        266 |
| e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\auth-forms\AuthRegister.js                   | JavaScript         |        312 |          7 |         21 |        340 |
| e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\authentication3\Login3.js                    | JavaScript         |         75 |          4 |          8 |         87 |
| e:\webdevelopment\dvki\client\frontend\src\views\pages\authentication\authentication3\Register3.js                 | JavaScript         |         75 |          4 |          8 |         87 |
| e:\webdevelopment\dvki\client\frontend\src\views\pages\certificates\CertificatesWrapper.js                         | JavaScript         |         23 |          3 |          7 |         33 |
| e:\webdevelopment\dvki\client\frontend\src\views\pages\certificates\request\index.js                               | JavaScript         |        265 |          5 |          4 |        274 |
| e:\webdevelopment\dvki\client\frontend\src\views\pages\certificates\verify\index.js                                | JavaScript         |         86 |          2 |          7 |         95 |
| e:\webdevelopment\dvki\client\frontend\src\views\sample-page\hero.js                                               | JavaScript         |         53 |         28 |          1 |         82 |
| e:\webdevelopment\dvki\client\frontend\src\views\sample-page\index.js                                              | JavaScript         |         11 |          3 |          5 |         19 |
| e:\webdevelopment\dvki\client\frontend\src\views\utilities\Color.js                                                | JavaScript         |        215 |          4 |          9 |        228 |
| e:\webdevelopment\dvki\client\frontend\src\views\utilities\MaterialIcons.js                                        | JavaScript         |         17 |          3 |          6 |         26 |
| e:\webdevelopment\dvki\client\frontend\src\views\utilities\Shadow.js                                               | JavaScript         |        113 |          4 |          9 |        126 |
| e:\webdevelopment\dvki\client\frontend\src\views\utilities\TablerIcons.js                                          | JavaScript         |         18 |          4 |          7 |         29 |
| e:\webdevelopment\dvki\client\frontend\src\views\utilities\Typography.js                                           | JavaScript         |        120 |          2 |          5 |        127 |
| Total                                                                                                              |                    |     50,619 |        614 |        834 |     52,067 |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
